"","domain","BA_hat","BA","sample_size","model"
"47250","B",65.4567316841838,65.1658741408031,"32","area_eblup"
"47251","C",37.2395209497633,37.3974311713912,"32","area_eblup"
"47252","D",57.6198361040311,57.3637802690845,"32","area_eblup"
"47253","E",59.1279626994482,59.5110616250196,"32","area_eblup"
"47254","F",78.0356548594137,78.6226240069573,"32","area_eblup"
"47255","G",66.1927129128717,67.0435767712799,"32","area_eblup"
"47256","H",49.3283983757381,49.6500997828831,"32","area_eblup"
"47257","A",46.6895337318267,45.5597646993401,"32","area_eblup"
"47258","B",64.8974020395208,65.1658741408031,"32","area_eblup"
"47259","C",36.8100571389418,37.3974311713912,"32","area_eblup"
"47260","D",57.4956380558436,57.3637802690845,"32","area_eblup"
"47261","E",59.9477356463478,59.5110616250196,"32","area_eblup"
"47262","F",78.9736430125213,78.6226240069573,"32","area_eblup"
"47263","G",64.7207930460009,67.0435767712799,"32","area_eblup"
"47264","H",51.4929710214055,49.6500997828831,"32","area_eblup"
"47265","A",44.5755016770457,45.5597646993401,"32","area_eblup"
"47266","B",67.0576280192554,65.1658741408031,"32","area_eblup"
"47267","C",37.0909229333299,37.3974311713912,"32","area_eblup"
"47268","D",56.6170147368079,57.3637802690845,"32","area_eblup"
"47269","E",60.8702560354833,59.5110616250196,"32","area_eblup"
"47270","F",78.0286266138343,78.6226240069573,"32","area_eblup"
"47271","G",65.6152935830505,67.0435767712799,"32","area_eblup"
"47272","H",49.5285373870478,49.6500997828831,"32","area_eblup"
"47273","A",44.4777003197973,45.5597646993401,"32","area_eblup"
"47274","B",66.5036199321572,65.1658741408031,"32","area_eblup"
"47275","C",37.4424183164308,37.3974311713912,"32","area_eblup"
"47276","D",57.6779333941051,57.3637802690845,"32","area_eblup"
"47277","E",59.2648410735847,59.5110616250196,"32","area_eblup"
"47278","F",79.1517747265428,78.6226240069573,"32","area_eblup"
"47279","G",66.2019732925981,67.0435767712799,"32","area_eblup"
"47280","H",51.0317183598514,49.6500997828831,"32","area_eblup"
"47281","A",45.5892103984988,45.5597646993401,"32","area_eblup"
"47282","B",64.7548364118922,65.1658741408031,"32","area_eblup"
"47283","C",37.6398508039619,37.3974311713912,"32","area_eblup"
"47284","D",58.5257105121557,57.3637802690845,"32","area_eblup"
"47285","E",60.1616266921603,59.5110616250196,"32","area_eblup"
"47286","F",78.114160056226,78.6226240069573,"32","area_eblup"
"47287","G",63.7970750408828,67.0435767712799,"32","area_eblup"
"47288","H",50.2283802723387,49.6500997828831,"32","area_eblup"
"47289","A",45.2634952128176,45.5597646993401,"32","area_eblup"
"47290","B",64.8793303014909,65.1658741408031,"32","area_eblup"
"47291","C",38.6903095419332,37.3974311713912,"32","area_eblup"
"47292","D",57.9681380300646,57.3637802690845,"32","area_eblup"
"47293","E",58.7734797695848,59.5110616250196,"32","area_eblup"
"47294","F",79.5570149592882,78.6226240069573,"32","area_eblup"
"47295","G",65.3307372874161,67.0435767712799,"32","area_eblup"
"47296","H",50.8347367430396,49.6500997828831,"32","area_eblup"
"47297","A",45.5103338158226,45.5597646993401,"32","area_eblup"
"47298","B",65.9499949752634,65.1658741408031,"32","area_eblup"
"47299","C",38.113114200433,37.3974311713912,"32","area_eblup"
"47300","D",56.5569467867381,57.3637802690845,"32","area_eblup"
"47301","E",59.3085989493238,59.5110616250196,"32","area_eblup"
"47302","F",78.2875490788716,78.6226240069573,"32","area_eblup"
"47303","G",66.9119868802856,67.0435767712799,"32","area_eblup"
"47304","H",50.1146555927092,49.6500997828831,"32","area_eblup"
"47305","A",45.732358837779,45.5597646993401,"32","area_eblup"
